,Unnamed: 0.1,webURL,numViolations,id,finalScore,impact,tags,description,help,helpUrl,html,failureSummary
16,13,https://symbolic.com/,2,listitem,8.0,serious,"['cat.structure', 'wcag2a', 'wcag131', 'EN-301-549', 'EN-9.1.3.1']",Ensures <li> elements are used semantically,<li> elements must be contained in a <ul> or <ol>,https://dequeuniversity.com/rules/axe/4.8/listitem?application=playwright,,
17,14,https://symbolic.com/,2,tabindex,8.0,serious,"['cat.keyboard', 'best-practice']",Ensures tabindex attribute values are not greater than 0,Elements should not have tabindex greater than zero,https://dequeuniversity.com/rules/axe/4.8/tabindex?application=playwright,,
19,16,https://vimeo.com/,2,page-has-heading-one,7.0,moderate,"['cat.semantics', 'best-practice']","Ensure that the page, or at least one of its frames contains a level-one heading",Page should contain a level-one heading,https://dequeuniversity.com/rules/axe/4.8/page-has-heading-one?application=playwright,,
18,15,https://vimeo.com/,2,document-title,7.0,serious,"['cat.text-alternatives', 'wcag2a', 'wcag242', 'TTv5', 'TT12.a', 'EN-301-549', 'EN-9.2.4.2', 'ACT']",Ensures each HTML document contains a non-empty <title> element,Documents must have <title> element to aid in navigation,https://dequeuniversity.com/rules/axe/4.8/document-title?application=playwright,,
23,20,https://www.audible.com/,4,region,14.0,moderate,"['cat.keyboard', 'best-practice']",Ensures all page content is contained by landmarks,All page content should be contained by landmarks,https://dequeuniversity.com/rules/axe/4.8/region?application=playwright,,
22,19,https://www.audible.com/,4,link-in-text-block,14.0,serious,"['cat.color', 'wcag2a', 'wcag141', 'TTv5', 'TT13.a', 'EN-301-549', 'EN-9.1.4.1']",Ensure links are distinguished from surrounding text in a way that does not rely on color,Links must be distinguishable without relying on color,https://dequeuniversity.com/rules/axe/4.8/link-in-text-block?application=playwright,,
20,17,https://www.audible.com/,4,aria-required-attr,14.0,critical,"['cat.aria', 'wcag2a', 'wcag412', 'EN-301-549', 'EN-9.4.1.2']",Ensures elements with ARIA roles have all required ARIA attributes,Required ARIA attributes must be provided,https://dequeuniversity.com/rules/axe/4.8/aria-required-attr?application=playwright,,
21,18,https://www.audible.com/,4,empty-heading,14.0,minor,"['cat.name-role-value', 'best-practice']",Ensures headings have discernible text,Headings should not be empty,https://dequeuniversity.com/rules/axe/4.8/empty-heading?application=playwright,,
24,26,https://www.baidu.com/,6,region,24.0,moderate,"['cat.keyboard', 'best-practice']",Ensures all page content is contained by landmarks,All page content should be contained by landmarks,https://dequeuniversity.com/rules/axe/4.8/region?application=playwright,,
25,22,https://www.baidu.com/,6,html-has-lang,24.0,serious,"['cat.language', 'wcag2a', 'wcag311', 'TTv5', 'TT11.a', 'EN-301-549', 'EN-9.3.1.1', 'ACT']",Ensures every HTML document has a lang attribute,<html> element must have a lang attribute,https://dequeuniversity.com/rules/axe/4.8/html-has-lang?application=playwright,,
26,24,https://www.baidu.com/,6,label,24.0,critical,"['cat.forms', 'wcag2a', 'wcag412', 'section508', 'section508.22.n', 'TTv5', 'TT5.c', 'EN-301-549', 'EN-9.4.1.2', 'ACT']",Ensures every form element has a label,Form elements must have labels,https://dequeuniversity.com/rules/axe/4.8/label?application=playwright,,
27,21,https://www.baidu.com/,6,color-contrast,24.0,serious,"['cat.color', 'wcag2aa', 'wcag143', 'TTv5', 'TT13.c', 'EN-301-549', 'EN-9.1.4.3', 'ACT']",Ensures the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds,Elements must meet minimum color contrast ratio thresholds,https://dequeuniversity.com/rules/axe/4.8/color-contrast?application=playwright,,
28,23,https://www.baidu.com/,6,image-alt,24.0,critical,"['cat.text-alternatives', 'wcag2a', 'wcag111', 'section508', 'section508.22.a', 'TTv5', 'TT7.a', 'TT7.b', 'EN-301-549', 'EN-9.1.1.1', 'ACT']",Ensures <img> elements have alternate text or a role of none or presentation,Images must have alternate text,https://dequeuniversity.com/rules/axe/4.8/image-alt?application=playwright,,
29,25,https://www.baidu.com/,6,landmark-one-main,24.0,moderate,"['cat.semantics', 'best-practice']",Ensures the document has a main landmark,Document should have one main landmark,https://dequeuniversity.com/rules/axe/4.8/landmark-one-main?application=playwright,,
33,30,https://www.barclays.co.uk/,5,link-name,16.0,serious,"['cat.name-role-value', 'wcag2a', 'wcag244', 'wcag412', 'section508', 'section508.22.a', 'TTv5', 'TT6.a', 'EN-301-549', 'EN-9.2.4.4', 'EN-9.4.1.2', 'ACT']",Ensures links have discernible text,Links must have discernible text,https://dequeuniversity.com/rules/axe/4.8/link-name?application=playwright,,
34,31,https://www.barclays.co.uk/,5,region,16.0,moderate,"['cat.keyboard', 'best-practice']",Ensures all page content is contained by landmarks,All page content should be contained by landmarks,https://dequeuniversity.com/rules/axe/4.8/region?application=playwright,,
32,29,https://www.barclays.co.uk/,5,landmark-no-duplicate-contentinfo,16.0,moderate,"['cat.semantics', 'best-practice']",Ensures the document has at most one contentinfo landmark,Document should not have more than one contentinfo landmark,https://dequeuniversity.com/rules/axe/4.8/landmark-no-duplicate-contentinfo?application=playwright,,
31,28,https://www.barclays.co.uk/,5,landmark-contentinfo-is-top-level,16.0,moderate,"['cat.semantics', 'best-practice']",Ensures the contentinfo landmark is at top level,Contentinfo landmark should not be contained in another landmark,https://dequeuniversity.com/rules/axe/4.8/landmark-contentinfo-is-top-level?application=playwright,,
30,27,https://www.barclays.co.uk/,5,heading-order,16.0,moderate,"['cat.semantics', 'best-practice']",Ensures the order of headings is semantically correct,Heading levels should only increase by one,https://dequeuniversity.com/rules/axe/4.8/heading-order?application=playwright,,
35,35,https://www.bbc.com/,4,page-has-heading-one,11.0,moderate,"['cat.semantics', 'best-practice']","Ensure that the page, or at least one of its frames contains a level-one heading",Page should contain a level-one heading,https://dequeuniversity.com/rules/axe/4.8/page-has-heading-one?application=playwright,,
36,33,https://www.bbc.com/,4,html-has-lang,11.0,serious,"['cat.language', 'wcag2a', 'wcag311', 'TTv5', 'TT11.a', 'EN-301-549', 'EN-9.3.1.1', 'ACT']",Ensures every HTML document has a lang attribute,<html> element must have a lang attribute,https://dequeuniversity.com/rules/axe/4.8/html-has-lang?application=playwright,,
37,32,https://www.bbc.com/,4,empty-heading,11.0,minor,"['cat.name-role-value', 'best-practice']",Ensures headings have discernible text,Headings should not be empty,https://dequeuniversity.com/rules/axe/4.8/empty-heading?application=playwright,,
38,34,https://www.bbc.com/,4,image-redundant-alt,11.0,minor,"['cat.text-alternatives', 'best-practice']",Ensure image alternative is not repeated as text,Alternative text of images should not be repeated as text,https://dequeuniversity.com/rules/axe/4.8/image-redundant-alt?application=playwright,,
39,39,https://www.eventbrite.com/,3,aria-allowed-role,8.0,minor,"['cat.aria', 'best-practice']",Ensures role attribute has an appropriate value for the element,ARIA role should be appropriate for the element,https://dequeuniversity.com/rules/axe/4.8/aria-allowed-role?application=playwright,,
40,40,https://www.eventbrite.com/,3,image-redundant-alt,8.0,minor,"['cat.text-alternatives', 'best-practice']",Ensure image alternative is not repeated as text,Alternative text of images should not be repeated as text,https://dequeuniversity.com/rules/axe/4.8/image-redundant-alt?application=playwright,,
41,41,https://www.eventbrite.com/,3,link-name,8.0,serious,"['cat.name-role-value', 'wcag2a', 'wcag244', 'wcag412', 'section508', 'section508.22.a', 'TTv5', 'TT6.a', 'EN-301-549', 'EN-9.2.4.4', 'EN-9.4.1.2', 'ACT']",Ensures links have discernible text,Links must have discernible text,https://dequeuniversity.com/rules/axe/4.8/link-name?application=playwright,,
43,42,https://www.facebook.com/,3,color-contrast,10.0,serious,"['cat.color', 'wcag2aa', 'wcag143', 'TTv5', 'TT13.c', 'EN-301-549', 'EN-9.1.4.3', 'ACT']",Ensures the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds,Elements must meet minimum color contrast ratio thresholds,https://dequeuniversity.com/rules/axe/4.8/color-contrast?application=playwright,,
44,43,https://www.facebook.com/,3,page-has-heading-one,10.0,moderate,"['cat.semantics', 'best-practice']","Ensure that the page, or at least one of its frames contains a level-one heading",Page should contain a level-one heading,https://dequeuniversity.com/rules/axe/4.8/page-has-heading-one?application=playwright,,
42,44,https://www.facebook.com/,3,region,10.0,moderate,"['cat.keyboard', 'best-practice']",Ensures all page content is contained by landmarks,All page content should be contained by landmarks,https://dequeuniversity.com/rules/axe/4.8/region?application=playwright,,
46,45,https://www.grubhub.com/,2,meta-viewport,8.0,critical,"['cat.sensory-and-visual-cues', 'wcag2aa', 'wcag144', 'EN-301-549', 'EN-9.1.4.4', 'ACT']","Ensures <meta name=""viewport""> does not disable text scaling and zooming",Zooming and scaling must not be disabled,https://dequeuniversity.com/rules/axe/4.8/meta-viewport?application=playwright,,
45,46,https://www.grubhub.com/,2,page-has-heading-one,8.0,moderate,"['cat.semantics', 'best-practice']","Ensure that the page, or at least one of its frames contains a level-one heading",Page should contain a level-one heading,https://dequeuniversity.com/rules/axe/4.8/page-has-heading-one?application=playwright,,
47,47,https://www.ieee.org/,4,color-contrast,15.0,serious,"['cat.color', 'wcag2aa', 'wcag143', 'TTv5', 'TT13.c', 'EN-301-549', 'EN-9.1.4.3', 'ACT']",Ensures the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds,Elements must meet minimum color contrast ratio thresholds,https://dequeuniversity.com/rules/axe/4.8/color-contrast?application=playwright,,
48,48,https://www.ieee.org/,4,frame-title,15.0,serious,"['cat.text-alternatives', 'wcag2a', 'wcag412', 'section508', 'section508.22.i', 'TTv5', 'TT12.d', 'EN-301-549', 'EN-9.4.1.2']",Ensures <iframe> and <frame> elements have an accessible name,Frames must have an accessible name,https://dequeuniversity.com/rules/axe/4.8/frame-title?application=playwright,,
49,49,https://www.ieee.org/,4,heading-order,15.0,moderate,"['cat.semantics', 'best-practice']",Ensures the order of headings is semantically correct,Heading levels should only increase by one,https://dequeuniversity.com/rules/axe/4.8/heading-order?application=playwright,,
50,50,https://www.ieee.org/,4,link-name,15.0,serious,"['cat.name-role-value', 'wcag2a', 'wcag244', 'wcag412', 'section508', 'section508.22.a', 'TTv5', 'TT6.a', 'EN-301-549', 'EN-9.2.4.4', 'EN-9.4.1.2', 'ACT']",Ensures links have discernible text,Links must have discernible text,https://dequeuniversity.com/rules/axe/4.8/link-name?application=playwright,,
51,51,https://www.itcorp.com/,1,html-has-lang,4.0,serious,"['cat.language', 'wcag2a', 'wcag311', 'TTv5', 'TT11.a', 'EN-301-549', 'EN-9.3.1.1', 'ACT']",Ensures every HTML document has a lang attribute,<html> element must have a lang attribute,https://dequeuniversity.com/rules/axe/4.8/html-has-lang?application=playwright,,
52,52,https://www.mobileye.com/,0,,0.0,,,,,,,
53,54,https://www.mobileye.com/,0,,0.0,,,,,,,
54,53,https://www.nature.com/,1,aria-allowed-role,2.0,minor,"['cat.aria', 'best-practice']",Ensures role attribute has an appropriate value for the element,ARIA role should be appropriate for the element,https://dequeuniversity.com/rules/axe/4.8/aria-allowed-role?application=playwright,,
55,55,https://www.nature.com/,1,region,3.0,moderate,"['cat.keyboard', 'best-practice']",Ensures all page content is contained by landmarks,All page content should be contained by landmarks,https://dequeuniversity.com/rules/axe/4.8/region?application=playwright,,
64,65,https://www.nytimes.com/,10,tabindex,36.0,serious,"['cat.keyboard', 'best-practice']",Ensures tabindex attribute values are not greater than 0,Elements should not have tabindex greater than zero,https://dequeuniversity.com/rules/axe/4.8/tabindex?application=playwright,,
63,57,https://www.nytimes.com/,10,heading-order,36.0,moderate,"['cat.semantics', 'best-practice']",Ensures the order of headings is semantically correct,Heading levels should only increase by one,https://dequeuniversity.com/rules/axe/4.8/heading-order?application=playwright,,
62,58,https://www.nytimes.com/,10,landmark-unique,36.0,moderate,"['cat.semantics', 'best-practice']",Landmarks should have a unique role or role/label/title (i.e. accessible name) combination,Ensures landmarks are unique,https://dequeuniversity.com/rules/axe/4.8/landmark-unique?application=playwright,,
61,59,https://www.nytimes.com/,10,link-name,36.0,serious,"['cat.name-role-value', 'wcag2a', 'wcag244', 'wcag412', 'section508', 'section508.22.a', 'TTv5', 'TT6.a', 'EN-301-549', 'EN-9.2.4.4', 'EN-9.4.1.2', 'ACT']",Ensures links have discernible text,Links must have discernible text,https://dequeuniversity.com/rules/axe/4.8/link-name?application=playwright,,
56,64,https://www.nytimes.com/,10,scrollable-region-focusable,36.0,serious,"['cat.keyboard', 'wcag2a', 'wcag211', 'TTv5', 'TT4.a', 'EN-301-549', 'EN-9.2.1.1']",Ensure elements that have scrollable content are accessible by keyboard,Scrollable region must have keyboard access,https://dequeuniversity.com/rules/axe/4.8/scrollable-region-focusable?application=playwright,,
59,61,https://www.nytimes.com/,10,nested-interactive,36.0,serious,"['cat.keyboard', 'wcag2a', 'wcag412', 'TTv5', 'TT6.a', 'EN-301-549', 'EN-9.4.1.2']",Ensures interactive controls are not nested as they are not always announced by screen readers or can cause focus problems for assistive technologies,Interactive controls must not be nested,https://dequeuniversity.com/rules/axe/4.8/nested-interactive?application=playwright,,
58,62,https://www.nytimes.com/,10,page-has-heading-one,36.0,moderate,"['cat.semantics', 'best-practice']","Ensure that the page, or at least one of its frames contains a level-one heading",Page should contain a level-one heading,https://dequeuniversity.com/rules/axe/4.8/page-has-heading-one?application=playwright,,
57,63,https://www.nytimes.com/,10,region,36.0,moderate,"['cat.keyboard', 'best-practice']",Ensures all page content is contained by landmarks,All page content should be contained by landmarks,https://dequeuniversity.com/rules/axe/4.8/region?application=playwright,,
65,60,https://www.nytimes.com/,10,listitem,36.0,serious,"['cat.structure', 'wcag2a', 'wcag131', 'EN-301-549', 'EN-9.1.3.1']",Ensures <li> elements are used semantically,<li> elements must be contained in a <ul> or <ol>,https://dequeuniversity.com/rules/axe/4.8/listitem?application=playwright,,
60,56,https://www.nytimes.com/,10,color-contrast,36.0,serious,"['cat.color', 'wcag2aa', 'wcag143', 'TTv5', 'TT13.c', 'EN-301-549', 'EN-9.1.4.3', 'ACT']",Ensures the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds,Elements must meet minimum color contrast ratio thresholds,https://dequeuniversity.com/rules/axe/4.8/color-contrast?application=playwright,,
67,68,https://www.patreon.com/,3,link-name,13.0,serious,"['cat.name-role-value', 'wcag2a', 'wcag244', 'wcag412', 'section508', 'section508.22.a', 'TTv5', 'TT6.a', 'EN-301-549', 'EN-9.2.4.4', 'EN-9.4.1.2', 'ACT']",Ensures links have discernible text,Links must have discernible text,https://dequeuniversity.com/rules/axe/4.8/link-name?application=playwright,,
68,66,https://www.patreon.com/,3,aria-allowed-attr,13.0,critical,"['cat.aria', 'wcag2a', 'wcag412', 'EN-301-549', 'EN-9.4.1.2']",Ensures an element's role supports its ARIA attributes,Elements must only use supported ARIA attributes,https://dequeuniversity.com/rules/axe/4.8/aria-allowed-attr?application=playwright,,
66,67,https://www.patreon.com/,3,color-contrast,13.0,serious,"['cat.color', 'wcag2aa', 'wcag143', 'TTv5', 'TT13.c', 'EN-301-549', 'EN-9.1.4.3', 'ACT']",Ensures the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds,Elements must meet minimum color contrast ratio thresholds,https://dequeuniversity.com/rules/axe/4.8/color-contrast?application=playwright,,
69,69,https://www.quora.com/,0,,0.0,,,,,,,
70,70,https://www.researchgate.net/,3,color-contrast,10.0,serious,"['cat.color', 'wcag2aa', 'wcag143', 'TTv5', 'TT13.c', 'EN-301-549', 'EN-9.1.4.3', 'ACT']",Ensures the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds,Elements must meet minimum color contrast ratio thresholds,https://dequeuniversity.com/rules/axe/4.8/color-contrast?application=playwright,,
71,71,https://www.researchgate.net/,3,landmark-one-main,10.0,moderate,"['cat.semantics', 'best-practice']",Ensures the document has a main landmark,Document should have one main landmark,https://dequeuniversity.com/rules/axe/4.8/landmark-one-main?application=playwright,,
72,72,https://www.researchgate.net/,3,region,10.0,moderate,"['cat.keyboard', 'best-practice']",Ensures all page content is contained by landmarks,All page content should be contained by landmarks,https://dequeuniversity.com/rules/axe/4.8/region?application=playwright,,
77,76,https://www.taylorguitars.com/,6,link-name,21.0,serious,"['cat.name-role-value', 'wcag2a', 'wcag244', 'wcag412', 'section508', 'section508.22.a', 'TTv5', 'TT6.a', 'EN-301-549', 'EN-9.2.4.4', 'EN-9.4.1.2', 'ACT']",Ensures links have discernible text,Links must have discernible text,https://dequeuniversity.com/rules/axe/4.8/link-name?application=playwright,,
73,77,https://www.taylorguitars.com/,6,region,21.0,moderate,"['cat.keyboard', 'best-practice']",Ensures all page content is contained by landmarks,All page content should be contained by landmarks,https://dequeuniversity.com/rules/axe/4.8/region?application=playwright,,
74,73,https://www.taylorguitars.com/,6,color-contrast,21.0,serious,"['cat.color', 'wcag2aa', 'wcag143', 'TTv5', 'TT13.c', 'EN-301-549', 'EN-9.1.4.3', 'ACT']",Ensures the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds,Elements must meet minimum color contrast ratio thresholds,https://dequeuniversity.com/rules/axe/4.8/color-contrast?application=playwright,,
75,74,https://www.taylorguitars.com/,6,heading-order,21.0,moderate,"['cat.semantics', 'best-practice']",Ensures the order of headings is semantically correct,Heading levels should only increase by one,https://dequeuniversity.com/rules/axe/4.8/heading-order?application=playwright,,
76,75,https://www.taylorguitars.com/,6,landmark-unique,21.0,moderate,"['cat.semantics', 'best-practice']",Landmarks should have a unique role or role/label/title (i.e. accessible name) combination,Ensures landmarks are unique,https://dequeuniversity.com/rules/axe/4.8/landmark-unique?application=playwright,,
78,78,https://www.taylorguitars.com/,6,tabindex,21.0,serious,"['cat.keyboard', 'best-practice']",Ensures tabindex attribute values are not greater than 0,Elements should not have tabindex greater than zero,https://dequeuniversity.com/rules/axe/4.8/tabindex?application=playwright,,
84,85,https://www.weebly.com/,7,region,25.0,moderate,"['cat.keyboard', 'best-practice']",Ensures all page content is contained by landmarks,All page content should be contained by landmarks,https://dequeuniversity.com/rules/axe/4.8/region?application=playwright,,
83,80,https://www.weebly.com/,7,heading-order,25.0,moderate,"['cat.semantics', 'best-practice']",Ensures the order of headings is semantically correct,Heading levels should only increase by one,https://dequeuniversity.com/rules/axe/4.8/heading-order?application=playwright,,
82,79,https://www.weebly.com/,7,color-contrast,25.0,serious,"['cat.color', 'wcag2aa', 'wcag143', 'TTv5', 'TT13.c', 'EN-301-549', 'EN-9.1.4.3', 'ACT']",Ensures the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds,Elements must meet minimum color contrast ratio thresholds,https://dequeuniversity.com/rules/axe/4.8/color-contrast?application=playwright,,
79,84,https://www.weebly.com/,7,link-name,25.0,serious,"['cat.name-role-value', 'wcag2a', 'wcag244', 'wcag412', 'section508', 'section508.22.a', 'TTv5', 'TT6.a', 'EN-301-549', 'EN-9.2.4.4', 'EN-9.4.1.2', 'ACT']",Ensures links have discernible text,Links must have discernible text,https://dequeuniversity.com/rules/axe/4.8/link-name?application=playwright,,
80,83,https://www.weebly.com/,7,landmark-unique,25.0,moderate,"['cat.semantics', 'best-practice']",Landmarks should have a unique role or role/label/title (i.e. accessible name) combination,Ensures landmarks are unique,https://dequeuniversity.com/rules/axe/4.8/landmark-unique?application=playwright,,
85,81,https://www.weebly.com/,7,image-alt,25.0,critical,"['cat.text-alternatives', 'wcag2a', 'wcag111', 'section508', 'section508.22.a', 'TTv5', 'TT7.a', 'TT7.b', 'EN-301-549', 'EN-9.1.1.1', 'ACT']",Ensures <img> elements have alternate text or a role of none or presentation,Images must have alternate text,https://dequeuniversity.com/rules/axe/4.8/image-alt?application=playwright,,
81,82,https://www.weebly.com/,7,landmark-one-main,25.0,moderate,"['cat.semantics', 'best-practice']",Ensures the document has a main landmark,Document should have one main landmark,https://dequeuniversity.com/rules/axe/4.8/landmark-one-main?application=playwright,,
88,86,https://www.whatsapp.com/,4,color-contrast,15.0,serious,"['cat.color', 'wcag2aa', 'wcag143', 'TTv5', 'TT13.c', 'EN-301-549', 'EN-9.1.4.3', 'ACT']",Ensures the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds,Elements must meet minimum color contrast ratio thresholds,https://dequeuniversity.com/rules/axe/4.8/color-contrast?application=playwright,,
89,87,https://www.whatsapp.com/,4,landmark-one-main,15.0,moderate,"['cat.semantics', 'best-practice']",Ensures the document has a main landmark,Document should have one main landmark,https://dequeuniversity.com/rules/axe/4.8/landmark-one-main?application=playwright,,
86,88,https://www.whatsapp.com/,4,region,15.0,moderate,"['cat.keyboard', 'best-practice']",Ensures all page content is contained by landmarks,All page content should be contained by landmarks,https://dequeuniversity.com/rules/axe/4.8/region?application=playwright,,
87,89,https://www.whatsapp.com/,4,select-name,15.0,critical,"['cat.forms', 'wcag2a', 'wcag412', 'section508', 'section508.22.n', 'TTv5', 'TT5.c', 'EN-301-549', 'EN-9.4.1.2', 'ACT']",Ensures select element has an accessible name,Select element must have an accessible name,https://dequeuniversity.com/rules/axe/4.8/select-name?application=playwright,,
90,90,https://www.yokohamatire.com/,0,,0.0,,,,,,,
